// positions          // normals           // texture coords
    -0.053543f, 0.175174f, -0.019596f,  -1.000000f, -0.000000f, -0.000000f,  0.894043f, 0.947754f,
    -0.009434f, 0.074527f, -0.034417f,  -1.000000f, -0.000000f, -0.000000f,  0.950684f, 0.918457f,
    -0.009434f, 0.093395f, -0.034417f,  -1.000000f, -0.000000f, -0.000000f,  0.950684f, 0.914062f,
    -0.009434f, 0.093395f, -0.053285f,  -1.000000f, -0.000000f, -0.000000f,  0.955566f, 0.914062f,
    -0.009434f, 0.074527f, -0.034417f,  -1.000000f, -0.000000f, -0.000000f,  0.950684f, 0.918457f,
    -0.009434f, 0.093395f, -0.053285f,  -1.000000f, -0.000000f, -0.000000f,  0.955566f, 0.914062f,
    -0.009434f, 0.074527f, -0.053285f,  -1.000000f, -0.000000f, -0.000000f,  0.955566f, 0.918457f,
    -0.009434f, 0.074527f, -0.053285f,  -0.000000f, -0.000000f, -1.000000f,  0.932530f, 0.918231f,
    -0.009434f, 0.093395f, -0.053285f,  -0.000000f, -0.000000f, -1.000000f,  0.928916f, 0.918231f,
    0.009434f, 0.093395f, -0.053285f,  -0.000000f, -0.000000f, -1.000000f,  0.928916f, 0.914209f,
    -0.009434f, 0.074527f, -0.053285f,  -0.000000f, -0.000000f, -1.000000f,  0.932530f, 0.918231f,
    0.009434f, 0.093395f, -0.053285f,  -0.000000f, -0.000000f, -1.000000f,  0.928916f, 0.914209f,
    0.009434f, 0.074527f, -0.053285f,  -0.000000f, -0.000000f, -1.000000f,  0.932530f, 0.914209f,
    0.009434f, 0.074527f, -0.053285f,  1.000000f, -0.000000f, -0.000000f,  0.937500f, 0.918457f,
    0.009434f, 0.093395f, -0.053285f,  1.000000f, -0.000000f, -0.000000f,  0.933735f, 0.918231f,
    0.009434f, 0.093395f, -0.034417f,  1.000000f, -0.000000f, -0.000000f,  0.933735f, 0.914209f,
    0.009434f, 0.074527f, -0.053285f,  1.000000f, -0.000000f, -0.000000f,  0.937500f, 0.918457f,
    0.009434f, 0.093395f, -0.034417f,  1.000000f, -0.000000f, -0.000000f,  0.933735f, 0.914209f,
    0.009434f, 0.074527f, -0.034417f,  1.000000f, -0.000000f, -0.000000f,  0.937500f, 0.914062f,
    0.009434f, 0.074527f, -0.034417f,  -0.000000f, -0.000000f, 1.000000f,  0.953125f, 0.908691f,
    0.009434f, 0.093395f, -0.034417f,  -0.000000f, -0.000000f, 1.000000f,  0.956543f, 0.908691f,
    -0.009434f, 0.093395f, -0.034417f,  -0.000000f, -0.000000f, 1.000000f,  0.956543f, 0.913086f,
    0.009434f, 0.074527f, -0.034417f,  -0.000000f, -0.000000f, 1.000000f,  0.953125f, 0.908691f,
    -0.009434f, 0.093395f, -0.034417f,  -0.000000f, -0.000000f, 1.000000f,  0.956543f, 0.913086f,
    -0.009434f, 0.074527f, -0.034417f,  -0.000000f, -0.000000f, 1.000000f,  0.953125f, 0.913086f,
    -0.009434f, 0.074527f, -0.053285f,  -0.000000f, -1.000000f, -0.000000f,  0.934940f, 0.898123f,
    0.009434f, 0.074527f, -0.053285f,  -0.000000f, -1.000000f, -0.000000f,  0.934940f, 0.894102f,
    0.009434f, 0.074527f, -0.034417f,  -0.000000f, -1.000000f, -0.000000f,  0.938477f, 0.894043f,
    -0.009434f, 0.074527f, -0.053285f,  -0.000000f, -1.000000f, -0.000000f,  0.934940f, 0.898123f,
    0.009434f, 0.074527f, -0.034417f,  -0.000000f, -1.000000f, -0.000000f,  0.938477f, 0.894043f,
    -0.009434f, 0.074527f, -0.034417f,  -0.000000f, -1.000000f, -0.000000f,  0.938477f, 0.897949f,
    0.009434f, 0.093395f, -0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.936145f, 0.910188f,
    0.009434f, 0.093395f, -0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.936145f, 0.907507f,
    0.006764f, 0.093395f, -0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.937500f, 0.907715f,
    0.009434f, 0.093395f, -0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.936145f, 0.910188f,
    0.006764f, 0.093395f, -0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.937500f, 0.907715f,
    0.006764f, 0.093395f, -0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.937500f, 0.910156f,
    -0.006764f, 0.093395f, -0.037087f,  -0.000000f, -0.285400f, 0.958400f,  0.016867f, 0.092493f,
    0.006764f, 0.093395f, -0.037087f,  -0.000000f, -0.285400f, 0.958400f,  0.028916f, 0.092493f,
    0.006764f, 0.146055f, -0.021404f,  -0.000000f, -0.285400f, 0.958400f,  0.028916f, 0.139410f,
    -0.006764f, 0.093395f, -0.037087f,  -0.000000f, -0.285400f, 0.958400f,  0.016867f, 0.092493f,
    0.006764f, 0.146055f, -0.021404f,  -0.000000f, -0.285400f, 0.958400f,  0.028916f, 0.139410f,
    -0.006764f, 0.146055f, -0.021404f,  -0.000000f, -0.285400f, 0.958400f,  0.016867f, 0.139410f,
    -0.009434f, 0.093395f, -0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.967285f, 0.910156f,
    -0.009434f, 0.093395f, -0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.967285f, 0.914062f,
    -0.006764f, 0.093395f, -0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.966309f, 0.913086f,
    -0.009434f, 0.093395f, -0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.967285f, 0.910156f,
    -0.006764f, 0.093395f, -0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.966309f, 0.913086f,
    -0.006764f, 0.093395f, -0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.966309f, 0.910156f,
    -0.009434f, 0.093395f, -0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.938477f, 0.897949f,
    0.009434f, 0.093395f, -0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.938477f, 0.894043f,
    0.006764f, 0.093395f, -0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.895508f,
    -0.009434f, 0.093395f, -0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.938477f, 0.897949f,
    0.006764f, 0.093395f, -0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.895508f,
    -0.006764f, 0.093395f, -0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.897949f,
    0.009434f, 0.093395f, -0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.894043f,
    -0.009434f, 0.093395f, -0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.897949f,
    -0.006764f, 0.093395f, -0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.897949f,
    0.009434f, 0.093395f, -0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.894043f,
    -0.006764f, 0.093395f, -0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.897949f,
    0.006764f, 0.093395f, -0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.895508f,
    0.006764f, 0.146055f, -0.034933f,  -0.000000f, 1.000000f, -0.000000f,  0.030120f, 0.100536f,
    -0.006764f, 0.146055f, -0.034933f,  -0.000000f, 1.000000f, -0.000000f,  0.030120f, 0.123324f,
    -0.006764f, 0.146055f, -0.021404f,  -0.000000f, 1.000000f, -0.000000f,  0.007229f, 0.123324f,
    0.006764f, 0.146055f, -0.034933f,  -0.000000f, 1.000000f, -0.000000f,  0.030120f, 0.100536f,
    -0.006764f, 0.146055f, -0.021404f,  -0.000000f, 1.000000f, -0.000000f,  0.007229f, 0.123324f,
    0.006764f, 0.146055f, -0.021404f,  -0.000000f, 1.000000f, -0.000000f,  0.007229f, 0.100536f,
    0.006764f, 0.093395f, -0.050616f,  -0.000000f, 0.285400f, -0.958400f,  0.030120f, 0.092493f,
    -0.006764f, 0.093395f, -0.050616f,  -0.000000f, 0.285400f, -0.958400f,  0.040964f, 0.092493f,
    -0.006764f, 0.146055f, -0.034933f,  -0.000000f, 0.285400f, -0.958400f,  0.040964f, 0.139410f,
    0.006764f, 0.093395f, -0.050616f,  -0.000000f, 0.285400f, -0.958400f,  0.030120f, 0.092493f,
    -0.006764f, 0.146055f, -0.034933f,  -0.000000f, 0.285400f, -0.958400f,  0.040964f, 0.139410f,
    0.006764f, 0.146055f, -0.034933f,  -0.000000f, 0.285400f, -0.958400f,  0.030120f, 0.139410f,
    0.006764f, 0.093395f, -0.037087f,  1.000000f, -0.000000f, -0.000000f,  0.030120f, 0.026810f,
    0.006764f, 0.093395f, -0.050616f,  1.000000f, -0.000000f, -0.000000f,  0.040964f, 0.022788f,
    0.006764f, 0.146055f, -0.034933f,  1.000000f, -0.000000f, -0.000000f,  0.040964f, 0.069705f,
    0.006764f, 0.093395f, -0.037087f,  1.000000f, -0.000000f, -0.000000f,  0.030120f, 0.026810f,
    0.006764f, 0.146055f, -0.034933f,  1.000000f, -0.000000f, -0.000000f,  0.040964f, 0.069705f,
    0.006764f, 0.146055f, -0.021404f,  1.000000f, -0.000000f, -0.000000f,  0.030120f, 0.072386f,
    -0.006764f, 0.093395f, -0.050616f,  -1.000000f, -0.000000f, -0.000000f,  0.053012f, 0.041555f,
    -0.006764f, 0.093395f, -0.037087f,  -1.000000f, -0.000000f, -0.000000f,  0.063855f, 0.044236f,
    -0.006764f, 0.146055f, -0.021404f,  -1.000000f, -0.000000f, -0.000000f,  0.063855f, 0.091153f,
    -0.006764f, 0.093395f, -0.050616f,  -1.000000f, -0.000000f, -0.000000f,  0.053012f, 0.041555f,
    -0.006764f, 0.146055f, -0.021404f,  -1.000000f, -0.000000f, -0.000000f,  0.063855f, 0.091153f,
    -0.006764f, 0.146055f, -0.034933f,  -1.000000f, -0.000000f, -0.000000f,  0.053012f, 0.087131f,
    -0.053543f, 0.175174f, 0.019596f,  -1.000000f, -0.000000f, -0.000000f,  0.841309f, 0.947754f,
    -0.053543f, 0.175174f, 0.037080f,  -1.000000f, -0.000000f, -0.000000f,  0.894043f, 0.947754f,
    -0.053543f, 0.192658f, 0.037080f,  -1.000000f, -0.000000f, -0.000000f,  0.894043f, 1.000000f,
    -0.053543f, 0.175174f, 0.019596f,  -1.000000f, -0.000000f, -0.000000f,  0.841309f, 0.947754f,
    -0.053543f, 0.192658f, 0.037080f,  -1.000000f, -0.000000f, -0.000000f,  0.894043f, 1.000000f,
    -0.053543f, 0.192658f, 0.019596f,  -1.000000f, -0.000000f, -0.000000f,  0.841309f, 1.000000f,
    -0.053543f, 0.175174f, 0.037080f,  -0.000000f, -0.000000f, 1.000000f,  0.946777f, 0.891602f,
    -0.036059f, 0.175174f, 0.037080f,  -0.000000f, -0.000000f, 1.000000f,  1.000000f, 0.891602f,
    -0.036059f, 0.192658f, 0.037080f,  -0.000000f, -0.000000f, 1.000000f,  1.000000f, 0.943848f,
    -0.053543f, 0.175174f, 0.037080f,  -0.000000f, -0.000000f, 1.000000f,  0.946777f, 0.891602f,
    -0.036059f, 0.192658f, 0.037080f,  -0.000000f, -0.000000f, 1.000000f,  1.000000f, 0.943848f,
    -0.053543f, 0.192658f, 0.037080f,  -0.000000f, -0.000000f, 1.000000f,  0.946777f, 0.943848f,
    -0.036059f, 0.175174f, 0.037080f,  1.000000f, -0.000000f, -0.000000f,  0.941490f, 0.488682f,
    -0.036059f, 0.175174f, 0.019596f,  1.000000f, -0.000000f, -0.000000f,  0.994646f, 0.488682f,
    -0.036059f, 0.192658f, 0.019596f,  1.000000f, -0.000000f, -0.000000f,  0.994646f, 0.541838f,
    -0.036059f, 0.175174f, 0.037080f,  1.000000f, -0.000000f, -0.000000f,  0.941490f, 0.488682f,
    -0.036059f, 0.192658f, 0.019596f,  1.000000f, -0.000000f, -0.000000f,  0.994646f, 0.541838f,
    -0.036059f, 0.192658f, 0.037080f,  1.000000f, -0.000000f, -0.000000f,  0.941490f, 0.541838f,
    -0.036059f, 0.175174f, 0.019596f,  -0.000000f, -0.000000f, -1.000000f,  0.946777f, 0.946289f,
    -0.053543f, 0.175174f, 0.019596f,  -0.000000f, -0.000000f, -1.000000f,  1.000000f, 0.946289f,
    -0.053543f, 0.192658f, 0.019596f,  -0.000000f, -0.000000f, -1.000000f,  1.000000f, 0.998535f,
    -0.036059f, 0.175174f, 0.019596f,  -0.000000f, -0.000000f, -1.000000f,  0.946777f, 0.946289f,
    -0.053543f, 0.192658f, 0.019596f,  -0.000000f, -0.000000f, -1.000000f,  1.000000f, 0.998535f,
    -0.036059f, 0.192658f, 0.019596f,  -0.000000f, -0.000000f, -1.000000f,  0.946777f, 0.998535f,
    -0.053543f, 0.175174f, 0.037080f,  -0.000000f, -1.000000f, -0.000000f,  0.946777f, 0.994629f,
    -0.053543f, 0.175174f, 0.019596f,  -0.000000f, -1.000000f, -0.000000f,  0.946777f, 0.942383f,
    -0.036059f, 0.175174f, 0.019596f,  -0.000000f, -1.000000f, -0.000000f,  1.000000f, 0.942383f,
    -0.053543f, 0.175174f, 0.037080f,  -0.000000f, -1.000000f, -0.000000f,  0.946777f, 0.994629f,
    -0.036059f, 0.175174f, 0.019596f,  -0.000000f, -1.000000f, -0.000000f,  1.000000f, 0.942383f,
    -0.036059f, 0.175174f, 0.037080f,  -0.000000f, -1.000000f, -0.000000f,  1.000000f, 0.994629f,
    -0.036059f, 0.192658f, 0.037080f,  -0.000000f, 1.000000f, -0.000000f,  1.000000f, 0.939453f,
    -0.036059f, 0.192658f, 0.019596f,  -0.000000f, 1.000000f, -0.000000f,  0.946777f, 0.939453f,
    -0.053543f, 0.192658f, 0.019596f,  -0.000000f, 1.000000f, -0.000000f,  0.945801f, 0.998535f,
    -0.036059f, 0.192658f, 0.037080f,  -0.000000f, 1.000000f, -0.000000f,  1.000000f, 0.939453f,
    -0.053543f, 0.192658f, 0.019596f,  -0.000000f, 1.000000f, -0.000000f,  0.945801f, 0.998535f,
    -0.053543f, 0.192658f, 0.037080f,  -0.000000f, 1.000000f, -0.000000f,  0.999023f, 0.998535f,
    -0.009434f, 0.074527f, 0.034417f,  -1.000000f, -0.000000f, -0.000000f,  0.955566f, 0.914062f,
    -0.009434f, 0.074527f, 0.053285f,  -1.000000f, -0.000000f, -0.000000f,  0.958984f, 0.914062f,
    -0.009434f, 0.093395f, 0.053285f,  -1.000000f, -0.000000f, -0.000000f,  0.958984f, 0.918457f,
    -0.009434f, 0.074527f, 0.034417f,  -1.000000f, -0.000000f, -0.000000f,  0.955566f, 0.914062f,
    -0.009434f, 0.093395f, 0.053285f,  -1.000000f, -0.000000f, -0.000000f,  0.958984f, 0.918457f,
    -0.009434f, 0.093395f, 0.034417f,  -1.000000f, -0.000000f, -0.000000f,  0.955566f, 0.918457f,
    -0.009434f, 0.074527f, 0.053285f,  -0.000000f, -0.000000f, 1.000000f,  0.956543f, 0.913086f,
    0.009434f, 0.074527f, 0.053285f,  -0.000000f, -0.000000f, 1.000000f,  0.956543f, 0.908691f,
    0.009434f, 0.093395f, 0.053285f,  -0.000000f, -0.000000f, 1.000000f,  0.960449f, 0.908691f,
    -0.009434f, 0.074527f, 0.053285f,  -0.000000f, -0.000000f, 1.000000f,  0.956543f, 0.913086f,
    0.009434f, 0.093395f, 0.053285f,  -0.000000f, -0.000000f, 1.000000f,  0.960449f, 0.908691f,
    -0.009434f, 0.093395f, 0.053285f,  -0.000000f, -0.000000f, 1.000000f,  0.960449f, 0.913086f,
    0.009434f, 0.074527f, 0.053285f,  1.000000f, -0.000000f, -0.000000f,  0.958984f, 0.918457f,
    0.009434f, 0.074527f, 0.034417f,  1.000000f, -0.000000f, -0.000000f,  0.958984f, 0.914062f,
    0.009434f, 0.093395f, 0.034417f,  1.000000f, -0.000000f, -0.000000f,  0.962891f, 0.914062f,
    0.009434f, 0.074527f, 0.053285f,  1.000000f, -0.000000f, -0.000000f,  0.958984f, 0.918457f,
    0.009434f, 0.093395f, 0.034417f,  1.000000f, -0.000000f, -0.000000f,  0.962891f, 0.914062f,
    0.009434f, 0.093395f, 0.053285f,  1.000000f, -0.000000f, -0.000000f,  0.962891f, 0.918457f,
    0.009434f, 0.074527f, 0.034417f,  -0.000000f, -0.000000f, -1.000000f,  0.934940f, 0.894102f,
    -0.009434f, 0.074527f, 0.034417f,  -0.000000f, -0.000000f, -1.000000f,  0.934940f, 0.898123f,
    -0.009434f, 0.093395f, 0.034417f,  -0.000000f, -0.000000f, -1.000000f,  0.931325f, 0.898123f,
    0.009434f, 0.074527f, 0.034417f,  -0.000000f, -0.000000f, -1.000000f,  0.934940f, 0.894102f,
    -0.009434f, 0.093395f, 0.034417f,  -0.000000f, -0.000000f, -1.000000f,  0.931325f, 0.898123f,
    0.009434f, 0.093395f, 0.034417f,  -0.000000f, -0.000000f, -1.000000f,  0.931325f, 0.894102f,
    -0.009434f, 0.074527f, 0.053285f,  -0.000000f, -1.000000f, -0.000000f,  0.928916f, 0.918231f,
    -0.009434f, 0.074527f, 0.034417f,  -0.000000f, -1.000000f, -0.000000f,  0.925301f, 0.918231f,
    0.009434f, 0.074527f, 0.034417f,  -0.000000f, -1.000000f, -0.000000f,  0.925301f, 0.914209f,
    -0.009434f, 0.074527f, 0.053285f,  -0.000000f, -1.000000f, -0.000000f,  0.928916f, 0.918231f,
    0.009434f, 0.074527f, 0.034417f,  -0.000000f, -1.000000f, -0.000000f,  0.925301f, 0.914209f,
    0.009434f, 0.074527f, 0.053285f,  -0.000000f, -1.000000f, -0.000000f,  0.928916f, 0.914209f,
    0.009434f, 0.093395f, 0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.967285f, 0.910156f,
    0.006764f, 0.093395f, 0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.967285f, 0.910156f,
    0.006764f, 0.093395f, 0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.967285f, 0.913086f,
    0.009434f, 0.093395f, 0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.967285f, 0.910156f,
    0.006764f, 0.093395f, 0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.967285f, 0.913086f,
    0.009434f, 0.093395f, 0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.967285f, 0.914062f,
    -0.006764f, 0.093395f, 0.037087f,  -0.000000f, -0.285400f, -0.958400f,  0.048193f, 0.099196f,
    -0.006764f, 0.146055f, 0.021404f,  -0.000000f, -0.285400f, -0.958400f,  0.048193f, 0.146113f,
    0.006764f, 0.146055f, 0.021404f,  -0.000000f, -0.285400f, -0.958400f,  0.037349f, 0.146113f,
    -0.006764f, 0.093395f, 0.037087f,  -0.000000f, -0.285400f, -0.958400f,  0.048193f, 0.099196f,
    0.006764f, 0.146055f, 0.021404f,  -0.000000f, -0.285400f, -0.958400f,  0.037349f, 0.146113f,
    0.006764f, 0.093395f, 0.037087f,  -0.000000f, -0.285400f, -0.958400f,  0.037349f, 0.099196f,
    -0.009434f, 0.093395f, 0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.958008f, 0.902344f,
    -0.006764f, 0.093395f, 0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.958008f, 0.902344f,
    -0.006764f, 0.093395f, 0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.958008f, 0.899414f,
    -0.009434f, 0.093395f, 0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.958008f, 0.902344f,
    -0.006764f, 0.093395f, 0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.958008f, 0.899414f,
    -0.009434f, 0.093395f, 0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.958008f, 0.897949f,
    -0.009434f, 0.093395f, 0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.940918f, 0.897949f,
    -0.006764f, 0.093395f, 0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.897949f,
    0.006764f, 0.093395f, 0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.895508f,
    -0.009434f, 0.093395f, 0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.940918f, 0.897949f,
    0.006764f, 0.093395f, 0.037087f,  -0.000000f, 1.000000f, -0.000000f,  0.939941f, 0.895508f,
    0.009434f, 0.093395f, 0.034417f,  -0.000000f, 1.000000f, -0.000000f,  0.940918f, 0.894043f,
    0.009434f, 0.093395f, 0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.946777f, 0.924805f,
    0.006764f, 0.093395f, 0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.946777f, 0.924805f,
    -0.006764f, 0.093395f, 0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.946777f, 0.927734f,
    0.009434f, 0.093395f, 0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.946777f, 0.924805f,
    -0.006764f, 0.093395f, 0.050616f,  -0.000000f, 1.000000f, -0.000000f,  0.946777f, 0.927734f,
    -0.009434f, 0.093395f, 0.053285f,  -0.000000f, 1.000000f, -0.000000f,  0.946777f, 0.928711f,
    0.006764f, 0.146055f, 0.034933f,  -0.000000f, 1.000000f, -0.000000f,  0.040964f, 0.123324f,
    0.006764f, 0.146055f, 0.021404f,  -0.000000f, 1.000000f, -0.000000f,  0.063855f, 0.123324f,
    -0.006764f, 0.146055f, 0.021404f,  -0.000000f, 1.000000f, -0.000000f,  0.063855f, 0.147453f,
    0.006764f, 0.146055f, 0.034933f,  -0.000000f, 1.000000f, -0.000000f,  0.040964f, 0.123324f,
    -0.006764f, 0.146055f, 0.021404f,  -0.000000f, 1.000000f, -0.000000f,  0.063855f, 0.147453f,
    -0.006764f, 0.146055f, 0.034933f,  -0.000000f, 1.000000f, -0.000000f,  0.040964f, 0.147453f,
    0.006764f, 0.093395f, 0.050616f,  -0.000000f, 0.285400f, 0.958400f,  0.075904f, 0.041555f,
    0.006764f, 0.146055f, 0.034933f,  -0.000000f, 0.285400f, 0.958400f,  0.075904f, 0.087131f,
    -0.006764f, 0.146055f, 0.034933f,  -0.000000f, 0.285400f, 0.958400f,  0.065060f, 0.087131f,
    0.006764f, 0.093395f, 0.050616f,  -0.000000f, 0.285400f, 0.958400f,  0.075904f, 0.041555f,
    -0.006764f, 0.146055f, 0.034933f,  -0.000000f, 0.285400f, 0.958400f,  0.065060f, 0.087131f,
    -0.006764f, 0.093395f, 0.050616f,  -0.000000f, 0.285400f, 0.958400f,  0.065060f, 0.041555f,
    0.006764f, 0.093395f, 0.037087f,  1.000000f, -0.000000f, -0.000000f,  0.036145f, 0.103217f,
    0.006764f, 0.146055f, 0.021404f,  1.000000f, -0.000000f, -0.000000f,  0.036145f, 0.148794f,
    0.006764f, 0.146055f, 0.034933f,  1.000000f, -0.000000f, -0.000000f,  0.025301f, 0.146113f,
    0.006764f, 0.093395f, 0.037087f,  1.000000f, -0.000000f, -0.000000f,  0.036145f, 0.103217f,
    0.006764f, 0.146055f, 0.034933f,  1.000000f, -0.000000f, -0.000000f,  0.025301f, 0.146113f,
    0.006764f, 0.093395f, 0.050616f,  1.000000f, -0.000000f, -0.000000f,  0.025301f, 0.099196f,
    -0.006764f, 0.093395f, 0.050616f,  -1.000000f, -0.000000f, -0.000000f,  0.063855f, 0.091153f,
    -0.006764f, 0.146055f, 0.034933f,  -1.000000f, -0.000000f, -0.000000f,  0.063855f, 0.138070f,
    -0.006764f, 0.146055f, 0.021404f,  -1.000000f, -0.000000f, -0.000000f,  0.053012f, 0.140751f,
